"scientific_name","qc_status"
"Chimaphila maculata","Susceptible"
"Polygala senega","Susceptible"
"Lysimachia hybrida","Susceptible"
"Claytonia virginica","Susceptible"
"Podostemum ceratophyllum","Susceptible"
"Persicaria robustior","Susceptible"
"Persicaria careyi","Susceptible"
"Persicaria arifolia","Susceptible"
"Carex annectens","Susceptible"
"Ceanothus americanus","Susceptible"
"Corallorhiza striata","Susceptible"
"Juncus greenei","Susceptible"
"Spiranthes casei","Susceptible"
"Platanthera macrophylla","Susceptible"
"Platanthera flava","Susceptible"
"Platanthera unalascensis","Susceptible"
"Neottia borealis","Susceptible"
"Deschampsia alpina","Susceptible"
"Cypripedium reginae","Susceptible"
"Echinochloa walteri","Susceptible"
"Calypso bulbosa","Susceptible"
"Tofieldia coccinea","Susceptible"
"Carex atherodes","Susceptible"
"Juncus longistylis","Susceptible"
"Galearis spectabilis","Susceptible"
"Panicum philadelphicum","Susceptible"
"Polypodium sibiricum","Susceptible"
"Torreyochloa pallida","Susceptible"
"Sporobolus compositus","Susceptible"
"Puccinellia angustata","Susceptible"
"Puccinellia nuttalliana","Susceptible"
"Poa secunda","Susceptible"
"Bromus pubescens","Susceptible"
"Panicum virgatum","Susceptible"
"Juncus torreyi","Susceptible"
"Panicum flexile","Susceptible"
"Nardus stricta","Susceptible"
"Muhlenbergia sylvatica","Susceptible"
"Melica smithii","Susceptible"
"Festuca frederikseniae","Susceptible"
"Elymus villosus","Susceptible"
"Poa saltuensis","Susceptible"
"Carex hirsutella","Susceptible"
"Juncus ensifolius","Susceptible"
"Carex sartwellii","Susceptible"
"Najas guadalupensis","Susceptible"
"Carex oligocarpa","Susceptible"
"Carex molesta","Susceptible"
"Carex mesochorea","Susceptible"
"Cyperus dentatus","Susceptible"
"Carex laxiculmis","Susceptible"
"Carex muehlenbergii","Susceptible"
"Carex formosa","Susceptible"
"Carex folliculata","Susceptible"
"Carex siccata","Susceptible"
"Carex cumulata","Susceptible"
"Carex cephalophora","Susceptible"
"Carex baileyi","Susceptible"
"Carex atlantica","Susceptible"
"Esox niger","Susceptible"
"Rhynchospora capillacea","Susceptible"
"Carex richardsonii","Susceptible"
